"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type"
"1","Heatsink","Heatsink","BOM101,BOM102","1x4 screw plug","","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2309070925_DEGSON-15EDGKN-3-5-04P-14-00A-H_C7603442.pdf","C7603442","E"
"2","Unpolarized capacitor","C","C301,C302","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2"," ","~","C32949","B"
"3","Unpolarized capacitor","C","C209,C212","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21C101JBANNNC_C1790.pdf","C1790","B"
"4","Unpolarized capacitor","C","C101,C208,C210,C303,C304,C307,C308,C309,C310,C311,C312,C313","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","12"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B104KCFNNNE_C28233.pdf","C28233","B"
"5","Unpolarized capacitor","C","C306","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf","C28323","B"
"6","Unpolarized capacitor","C","C201,C203,C204,C205,C206,C214","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2411041759_Murata-Electronics-GRM21BR61H106KE43L_C440198.pdf","C440198","B"
"7","Unpolarized capacitor","C","C202,C207,C305","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","C45783","B"
"8","Unpolarized capacitor","C","C211,C213","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","https://www.lcsc.com/datasheet/C16780.pdf","C16780","B"
"9","Zener diode","D_Zener","D203","6V8","D_SOD-323_HandSoldering","1"," ","https://www.lcsc.com/datasheet/C123062.pdf","C123062","E"
"10","Schottky diode","D_Schottky","D201,D204,D301,D302,D303","B5819W","D_SOD-123","5"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--B5819W-SL_C8598.pdf","C8598","B"
"11","Light emitting diode","LED","D202","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/C2297.pdf","C2297","B"
